district,state,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon
ANDAMAN ISLANDS,ANDAMAN AND NICOBAR,12.382570475764597,92.8229111257153,10.510903358459643,14.935833930969181,92.20723724365251,94.27777862548857
NICOBAR ISLANDS,ANDAMAN AND NICOBAR,7.835290823784059,93.51160127110826,6.754255771636963,9.256945610046444,92.7181015014649,93.947807312012
ADILABAD,ANDHRA PRADESH,19.28451093318009,78.81321324195818,18.68030166625988,19.91608810424799,77.75739288330084,79.97305297851591
ANANTAPUR,ANDHRA PRADESH,14.312063992746294,77.46015890702772,13.675790786743164,15.225621223449707,76.75698852539068,78.46161651611334
CHITTOOR,ANDHRA PRADESH,13.331089970998157,78.9276368795754,12.611840248107853,13.984811782836914,78.05834197998064,80.0397567749024
CUDDAPAH,ANDHRA PRADESH,14.490288295648753,78.69613945382976,13.712220191955566,15.22887134552002,77.93976593017584,79.46092987060575
EAST GODAVARI,ANDHRA PRADESH,16.78271846914853,82.24320722001629,16.31014060974121,18.00567054748535,81.49803161621111,82.59526062011747
GUNTUR,ANDHRA PRADESH,15.884923803954782,80.58657681477034,15.731805801391829,16.826389312744084,79.19198608398466,80.89627838134783
HYDERABAD,ANDHRA PRADESH,17.38971171908912,78.46669226752392,17.297071456909237,17.471788406372013,78.38410186767578,78.53453063964855
KARIMNAGAR,ANDHRA PRADESH,18.515482743848324,79.43765474207272,17.974952697753906,19.07106971740734,78.5171661376956,80.33667755126953
KHAMMAM,ANDHRA PRADESH,17.683920200813926,80.67008735230263,16.762830734253157,18.628120422363395,79.78511047363287,81.79440307617182
KRISHNA,ANDHRA PRADESH,16.14387144854332,81.14805076509157,15.709030151367188,17.1380290985108,79.99167633056646,81.57067108154291
KURNOOL,ANDHRA PRADESH,15.437596122364287,77.90086821137173,14.892391204833984,16.1595401763916,76.97013854980463,78.92553710937528
MAHBUBNAGAR,ANDHRA PRADESH,16.639547158160582,77.98932997749392,15.827180862426985,17.233221054077262,77.23517608642584,79.22982025146501
MEDAK,ANDHRA PRADESH,17.889304134542087,78.13778782589031,17.415050506591797,18.283849716186523,77.43992614746088,79.12915039062506
NALGONDA,ANDHRA PRADESH,17.113248998111107,79.16984191579928,16.36281013488781,17.804990768432674,78.6073760986331,80.06967163085943
NELLORE,ANDHRA PRADESH,13.894342638532152,80.1470269368415,13.369380950927734,15.107851028442383,79.06249237060575,80.31649780273443
NIZAMABAD,ANDHRA PRADESH,18.42948687751343,78.07523626651417,18.073749542236442,19.002630233764876,77.51950073242205,78.6736907958985
PRAKASAM,ANDHRA PRADESH,15.489037284352163,80.11665759313202,14.94349193572998,16.310581207275504,78.7347030639649,80.47184753417963
RANGAREDDI,ANDHRA PRADESH,17.25368580078369,78.08149550138283,16.843160629272575,17.708641052246094,77.35999298095732,78.8489608764649
SRIKAKULAM,ANDHRA PRADESH,18.570900585634536,84.2587477219815,18.075500488281307,19.156890869140625,83.40608978271513,84.76101684570318
VISHAKHAPATNAM,ANDHRA PRADESH,17.64683786504818,83.01014021735297,17.24625015258789,18.538459777832145,81.85816955566406,83.47744750976557
VIZIANAGARAM,ANDHRA PRADESH,18.283295391147675,83.45982884009568,17.820030212402344,19.15363121032715,82.99151611328125,83.8160629272461
WARANGAL,ANDHRA PRADESH,18.017524122155283,79.8742208066195,17.313539505004883,18.604650497436467,78.82232666015653,80.6585159301759
WEST GODAVARI,ANDHRA PRADESH,16.632978373970253,81.45913121113536,16.31986236572277,17.48999977111839,80.85504913330078,81.85798645019537
CHANGLANG,ARUNACHAL PRADESH,27.360482784933343,96.37552715963574,26.9078884124757,27.66823005676281,95.63700103759766,97.17215728759777
EAST KAMENG,ARUNACHAL PRADESH,27.371193125531438,93.04741560662548,26.915540695190373,27.74188995361328,92.59017944335932,93.39073181152344
EAST SIANG,ARUNACHAL PRADESH,28.153820539775698,95.06499374909302,27.739479064941463,28.56311988830572,94.7413558959961,95.57128143310553
KURUNG KUMEY,ARUNACHAL PRADESH,28.04853351096372,93.24531834145336,27.595371246337947,28.367630004882926,92.66116333007812,93.9105911254884
LOHIT,ARUNACHAL PRADESH,27.946782928623612,96.59670688681412,27.55109977722168,28.466350555420036,95.75821685791021,97.41516113281261
LOWER DIBANG VALLEY,ARUNACHAL PRADESH,28.326514603769947,95.76567352189329,27.881788253784293,28.74448966979992,95.32036590576166,96.37296295166021
LOWER SUBANSIRI,ARUNACHAL PRADESH,27.708494475081203,93.96226410736912,27.32971954345703,28.028865814208984,93.39173126220709,94.35679626464844
PAPUM PARE,ARUNACHAL PRADESH,27.27352800459236,93.54468592157909,26.93852996826172,27.641866683959904,93.21121215820307,94.21065521240246
TAWANG,ARUNACHAL PRADESH,27.680684341574654,91.82504031343285,27.46063041687023,27.86351966857916,91.54389190673834,92.31595611572266
TIRAP,ARUNACHAL PRADESH,26.944062861458242,95.41470094274307,26.656021118164062,27.270620346069393,95.18450164794933,95.75499725341808
UPPER DIBANG VALLEY,ARUNACHAL PRADESH,29.01994687318806,95.98776413844188,28.562370300293082,29.46334457397461,95.24243164062506,96.61599731445324
UPPER SIANG,ARUNACHAL PRADESH,28.83092237005433,95.00155694144118,28.1485595703125,29.348590850830135,94.17192840576183,95.40970611572271
UPPER SUBANSIRI,ARUNACHAL PRADESH,28.277195508899652,93.89914580578461,27.760490417480582,28.713060379028377,93.18106842041027,94.5955810546875
WEST KAMENG,ARUNACHAL PRADESH,27.464865003313385,92.65015534164681,26.88976097106945,27.977930068969783,92.01117706298828,93.23628234863287
WEST SIANG,ARUNACHAL PRADESH,28.106295354124473,94.53510541501258,27.557710647583008,29.007001876831055,93.96028900146484,94.95789337158209
BARPETA,ASSAM,26.42787241753735,90.97912081264664,26.08951950073248,26.819803237915096,90.6516723632813,91.29981231689464
