state_ut,year,crime_family,registered_cases,data_kind,source_url,source_release_date
Andhra Pradesh,2021,cybercrime,1875,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Andhra Pradesh,2022,cybercrime,2341,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Andhra Pradesh,2023,cybercrime,2341,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Arunachal Pradesh,2021,cybercrime,47,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Arunachal Pradesh,2022,cybercrime,14,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Arunachal Pradesh,2023,cybercrime,24,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Assam,2021,cybercrime,4846,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Assam,2022,cybercrime,1733,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Assam,2023,cybercrime,909,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Bihar,2021,cybercrime,1413,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Bihar,2022,cybercrime,1621,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Bihar,2023,cybercrime,4450,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Chhattisgarh,2021,cybercrime,352,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Chhattisgarh,2022,cybercrime,439,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Chhattisgarh,2023,cybercrime,473,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Goa,2021,cybercrime,36,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Goa,2022,cybercrime,90,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
Goa,2023,cybercrime,86,official_aggregate,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2241336&lang=1&reg=1,2026-03-17
